Image Link,Center,Openings,Link 1,Link 2,Link 3,Link 4,Link 5,Link 6,
https://i.imgur.com/UtwUuJO.jpg,Blank,5,SCCCCHC,TSDSSBT,SHHPHTD,TCCBPPH,PTCPHPH,CSTPTSD,
https://cdn.discordapp.com/attachments/666873697763590144/666996430203781120/Hem1.png,Blank,1,SCHCCSB,SDBCDHB,SDPTSSC ,STCSCBH,TSCCSBC,CPCHHPB,
https://i.imgur.com/n8ErOHh.jpg,Blank,"2,4,6",DBBBTHP,BSBSHSS,DHBTDSD,DSBHSST,HTBSCPP,CPSBPBS,
https://cdn.discordapp.com/attachments/616633429462876185/666996616473083905/unknown.png,Blank,2,STCBCSP,BTBCTPH,DBCDSPT,HBPDHPD,DDHCPPC,TPBSHTD,
https://cdn.discordapp.com/attachments/666872924967403550/666961096640430110/unknown_1.png,Blank,5,CBHBBCH,TTCPDTS,DTCBSBD,SSTPPDH,PCHSDHD,SPSTPTT,
https://cdn.discordapp.com/attachments/512801962253746192/666883538674515968/unknown.png,Blank,"2,5,6",HPCPHBS,CSHTTBD,PBTBTTT,HTSTBDP,HTBTHBT,HBSHHTP,
https://cdn.discordapp.com/attachments/666873697763590144/666996378882408478/20200115081227_1.jpg,Blank,"3,4,6",SPCPCCP,DHBDDTT,TBDHCHT,CDSDHTH,STSPCST,DPBHHDH,
https://media.discordapp.net/attachments/666873697763590144/666997393077567548/unknown.png?width=950&height=676,Blank,"2,3,5",THTDCTB,BHPCBSP,CCTBBTB,CCTPTDT,HPDHCHP,CCDHHSH,
https://cdn.discordapp.com/attachments/666873697763590144/667000932038344706/20200115144000_1.jpg,Blank,1,SHCPHTP,CCBDCBD,DHBSBHT,DCTSBBH,PCHHCCT,PHHHSTT,
https://imgur.com/pyPz9r0,Blank,5,TDTTPHH,SBSPTPH,DPHDPTD,DPPCTCH,CPTDPPH,CCPSHPB,
https://cdn.discordapp.com/attachments/666873697763590144/667005809221435442/Tem1.png,Blank,4,BDPPDCP,DHBPDHH,TSPDSBB,CCBDDSD,HDBSPTB,CSHBTCD,
https://cdn.discordapp.com/attachments/616633429462876185/667005243719942194/unknown.png,Blank,"2,3,6",BTHSTCP,SHHSBDB,HCSHHHC,CCSCPDC,DSDPBHC,HCTDSDS,
https://imgur.com/XdWz7KT,Blank,"2,5",PTHBDTS,HPTHPBT,PTDBTSH,HPBDPDB,BTSHSBS,CPDBSCS,
https://i.imgur.com/fURNDt7.png,Blank,"1,4",SBDBBSB,PBDBDDS,SCHDBCB,TPCDPDB,HTDPSTC,TCPBSHS,
https://cdn.discordapp.com/attachments/666873697763590144/667011423435489282/Tem2.png,Blank,"2,5",PBDPDPS,CBCSTTC,HTBDHPD,THPCDPB,SPCBSCB,CBDDTSH,
https://imgur.com/qvb5RPX,Blank,"2,6",PPTPPCT,BSPBHPD,BSPHSTT,SCPHCCB,HCBHDDT,PHPHSTT,
https://imgur.com/a/PRsUWAv,Blank,"3,5",BTBTTDD,DPTTBCH,"DDPDPTD	",BBBBBBB,BCTPDTP,CHPHSTD,
https://i.imgur.com/g3mOzIs.jpg,Blank,"3,6",HTBBBTC,STDDHTD,PBPPPDP,TDBHCTP,PBCDTCD,DTTBSPP,
https://ibb.co/VpzBTPf,Blank,1,HTCBDBS,SHSTBTH,PDCDPSP,SPBBTCB,BSCTHSS,SBHBTCD,
https://imgur.com/JyxrNQd.jpg,Blank,"2,4",SCTCTCC,BPTTSSC,DBBTPBH,SBPDPHP,TTSBDBH,PPBCHDC,
https://ibb.co/VM0N7gD,Blank,2,CSBSBBT,PBPSDCD,HHCPHHH,DHCTCPT,DHTPDBT,DTHTHPH,
https://cdn.discordapp.com/attachments/666873697763590144/667016968137867264/Screenshot_2020-01-15_08.43.44.png,Blank,1,BPCHPDD,BDPSBDS,CSSBSCB,HSBTDBS,BSBTPTT,STCBPBP,
https://cdn.discordapp.com/attachments/666873697763590144/667018149157404673/Hem2.png,Blank,6,SDDHPDH,PBTCSCD,TPCSCTS,PTHHPCH,HDSTPBC,HHBHDDS,
https://cdn.discordapp.com/attachments/628327783868661782/666879612277620785/tiger_release_final_20200115_024053.png,Blank,"1,2,3",PHPBBPH,BHSDDST,PPBTBCH,BHHBBSC,DTCPSPD,SBPSDBP,
https://i.imgur.com/7pox8oA.jpg,Blank,"2,6",TDCPCPB,CCBDCHT,BCDCPPH,PHTHSSS,DSTTHTB,DBTDTBD,
https://imgur.com/lrbJLUg.jpg,Blank,"2,3,6",TDPDTSP,HTDTBCT,HCCTBBC,PDSPDPD,DHSPHPB,PBTTBCB,
https://ibb.co/5FmFRjB,Blank,"1,3",DHHPDBC,TBCTSHC,DTPDHSD,PDDPCTC,HPHPPDB,CSDHPPH,
https://imgur.com/gallery/LhquW8n,Blank,"1,3",DDTTSSC,"CDCPTBS	",DCPTPSH,DHDPTBP,CCSPCBD,BSCCBDP,
https://imgur.com/gallery/ukpUu7g,Blank,"2,3","	DBTHCTP","	DSPPCTS","HDHBBHD	","	CTPCTHC","PPHBCBB	",HTPTPHT,
https://imgur.com/gallery/CjLXNm2,Blank,"2,3,5","THPBDHP	",CSBDBDP,DHCTDTB,PBTDDCP,"	CPSCDBT",BTTSSPB,
https://imgur.com/gallery/ChKqBZ9,Blank,"1,3,6","	TDTSSHH",CDPCDTT,PHPCSCB,BBHHHDB,"BPTPTSC	",CCDCPDS,
https://imgur.com/gallery/usAiVnE,Blank,"2,5,6",CPSSPCH,BPDDBHS,SDBTTBS,CSBDTCD,DBSPBBH,HCHHPSC,
https://cdn.discordapp.com/attachments/667022041647415303/667025854865342474/unknown.png,Blank,4,TPSPCPH,CDHDPSS,SHTBDHD,BBTDTBS,CSPHDPB,SSCPPDP,
https://imgur.com/gallery/a2IU6qG,Blank,5,HHSTTPB,"DHHSTSD	",TTSCCSS,CCPDBTP,"	DDSSPHB",HHSTTPB,
https://i.imgur.com/spueF0b.png,Blank,2,CBDDBTD,TCPDBHS,BBBBBBB,BBBBBBB,BBBBBBB,HBHSBHC,
https://i.imgur.com/fCdF6xD.png,Blank,"5,6",SPDHDSC,TSTBPCH,DHPBSTS,HSPHTPP,TCSBSHT,TTCHTTS,
https://i.imgur.com/PUbrLbk.jpg,Blank,"1,3",HHHTDSP,TBTBSBS        ,CCSSHSD        ,BTSTBHB,BBPTHSH,CBPCPBC,
,Blank,"2,6",HPCTPBH,DHTPSHT,HCPCCHC,THHPTPC,TBPBDTD,PCTCPHP,
https://cdn.discordapp.com/attachments/453790554124451841/667056158846091306/unknown.png,Blank,6,PTPBDHH,PCDCPDH,CTTPPPP,PSBTBPP,HBTTCBS,SCSPHBT,
https://cdn.discordapp.com/attachments/453790554124451841/667058138133954583/unknown.png,Blank,"1,5,6",BSTDPPP,HHBTSBP,BDSPDDC,TBTDHSD,DPBDHSC,DBTSHCS,
https://imgur.com/1c946Yd,Blank,"3,5,6",DHPSTDS,BBPSHTT,DDBCSPC,HBHHPPH,DPSDCBB,TBTHPCT,
,Blank,"2,3",CTDTCHD,THPPPTT,CDDTTTH,PSPPCTP,TCBPSCC,DTDSDPT,
https://imgur.com/UdHPNEn,Blank,"3,5",SPDSDPD,CHPPSCP,CCHHTCS,PTPBCTC,THHDHTC,BDDTDPC,
https://cdn.discordapp.com/attachments/666873697763590144/667085858830286858/Screenshot_2020-01-15_at_19.19.46.png,Blank,"3,6",HHSHCDH,CTHHTHT,CSHPCCC,SBDCCTD,BCBTDPT,SSSDTCD,
https://media.discordapp.net/attachments/353159789095813132/667022903405051943/Annotation_2020-01-15_085137.png,Blank,"3,6",CSPTPHH,DDHBBHS,TTDDDPC,SSCBDHH,TTHBDTC,PCTCHHB,
https://1drv.ms/u/s!AuEBZCqR9a8rcqvui94YdeT1DQA,Blank,"3,6",SSHCPCP,DBSHPCB,CSCPTSP,TSHBCPT,HHHTHBD,DSHHHTT,
https://cdn.discordapp.com/attachments/666873697763590144/667087298927525888/Screenshot_2020-01-15_at_19.25.06.png,Blank,"2,4",PSTCCST,SSBCTHB,BCTCPTS,SBCCBTD,BSBPPPH,DDHTCCC,
https://media.discordapp.net/attachments/343376081451089921/667088386879913994/unknown.png?width=944&height=531,Blank,"3,6",HPSTCSS,SSSSPDH,DSTHHSD,PBDTPDT,DTPHTCD,DPSHPDT,
https://cdn.discordapp.com/attachments/667022041647415303/667096540329803796/Emblem_Floor_1-15_12.00_am.jpg,Blank,"2,5,6",HPCDSTD,BTBDPPT,HDDCPBT,DCBCBDD,TBBHBDS,BCDHTCB,
https://cdn.discordapp.com/attachments/667022041647415303/667095486418780211/tiger_release_final_20200115_145849.png,Blank,"2,6",PTTBTSS,STSPCCS,HTCTCPP,HPPHTBB,SBPDSCB,CTHBDST,
https://imgur.com/a/EkpcGT5,Blank,3,HDCPCPP,CSCTTBB,SPPPDPC,HHBDDHH,BBBBBBB,BBBBBBB,
https://cdn.discordapp.com/attachments/667022041647415303/667099731457081344/tiger_release_final_20200115_151539.png,Blank,6,SPCHDPC,TCDSBSC,SCBDSPD,BDBSDPD,PHSPBHD,SHCBHPB,
https://cdn.discordapp.com/attachments/666873697763590144/667102149800624128/tiger_release_final_20200115_212127.png,Blank,5,CHDHPHH,PDBSCBD,SHHHPDH,HSHTCTT,DPTHCTH,PBDSBPS,
https://cdn.discordapp.com/attachments/667118189091749898/667118245152817152/tiger_release_final_20200115_221859.png,Blank,1,CHHSTCT,CBHPHSB,STPPTCC,SDTBTHC,BHTHCCD,CPPSCTS,
https://cdn.discordapp.com/attachments/667118189091749898/667119563481284631/tiger_release_final_20200115_221443.png,Blank,"3,5",PDPSTTT,HSDBDDD,BPBBDCT,HTBBTBT,CBPTPTP,TDSBHDB,
https://i.imgur.com/0PZeKBQ.jpg?1,Blank,"2,5",DTHBCDP,DCTCPCP,THHDTST,CCHTBTC,HCBSSCP,PTDBPBC,
,Blank,"2,3,4",HDTHBBS,PPHCBTS,HSDBCSC,DHCBCBT,SDDSSPH,DCPBPCT,
https://imgur.com/BPUyyHx,Blank,5,BPCHSDC,CBBSDPC,DCHPCTS,DTDTDBD,THDPCSS,DPPSSDD,
https://cdn.discordapp.com/attachments/667118189091749898/667127807494848564/tiger_release_final_20200115_230508.png,Blank,1,PSPBHSC,BBBBBBB,BBBBBBB,TDDHBHB,HHTTPPC,CCBDBPD,
,Blank,5,PSCCSDC,CPCTHPC,HBCSCCT,SCBTTCC,BDDHSDD,HCCCHSB,
,Blank,2,DCPCPTS,BSHBBSB,TTCDHTC,DDPDSDC,DCPTDPT,CCDPCPT,
,Blank,"1,4,5",HCBHCPT,PDTHHPC,BBCSHHS,DPSCBSB,PDCHTBP,SPDHHHB,
https://cdn.discordapp.com/attachments/666873697763590144/667140111665725498/PS_Messages_20200115_175627.jpg,Blank,"3,4,5,6",DHHDPST,HTBTBDC,DDTDCPH,BCCDTDS,DDSBBSD,SBBTPTB,
https://gamerdvr.com/gamer/mrdrmuffinpants/screenshot/14482002,Blank,3,SBPDSTD,DBHPCHB,PDSPPHD,SSBCPPS,BPHHCBH,PSDHHDT,
https://imgur.com/a/Ypt2uat,Blank,1,BBBPHTC,HPSPTHC,PCSTDPS,SDHDBDB,HHCPTBD,CHDCHDB,
https://cdn.discordapp.com/attachments/666873697763590144/667117189765136445/Destiny_2_Screenshot_2020.01.15_-_03.51.14.73.png,Blank,5,CPSHPHC,TPBHTHT,SCPHDDT,PTTBTSS,THDTSCB,CTDHHBC,
,Blank,"2,3,5,6",BBDBHPH,CSDSTCC,PHCDCSB,BDDCHTP,HPSSHHT,CHDCSPB,
,Blank,"2,3,6",HBBDPSP,CCSDPHC,CCHBHTT,PDDDCCB,BTTDCTC,DSCBCDH,
