Image Link,Center,Openings,Link1,Link2,Link3,Link4,Link5,Link6
https://gyazo.com/200bfe7e704c7f16199e0b717d058198,Blank,"2,5",BBBBBBB,HDSTHHT,HSTSTCC,BBPCBBS,PBDSPTB,SHHBPHB
https://cdn.discordapp.com/attachments/666872924967403550/667221843706642443/10.png,Blank,"2,3,4,6",BBBBBBB,HTCSHBS,PPBHPSS,HSDDBPC,PDCTHHS,BPSCDSC
https://media.discordapp.net/attachments/667499790950465537/667537837297631242/3f2cccf225df8943e7727a66e250a517.png,Diamond,"3,5,6",BBBBBBB,HTHDTTS,BCDSPTD,BPHHTCC,DPTHBPT,DPCDDDP
https://cdn.discordapp.com/attachments/666872924967403550/666878693733564448/Destiny_2_-_Raven_10pm_1.png,Plus,"3,5",BBBBBBB,SBHHDHT,SHDSBSB,TBTCBTP,DPSSHHT,CPSHHDH
https://cdn.discordapp.com/attachments/667619517110943745/667619718944784404/Destiny_2_Screenshot_2020.01.16_-_21.42.15.50.png,Blank,"2,3,5",BBBBBBB,SBTBBDH,HBCHTBD,PBCBDBT,DTDSPTH,CHBDBCD
https://cdn.discordapp.com/attachments/662143148960776212/667372805628887050/unknown.png,Blank,"2,6",BBBBBBB,TBPSPDS,HBPHTSD,BTBBCBB,PDTBSTC,CHSHTDD
https://drive.google.com/open?id=1xUN2aUuwmGb7wtUVYpELqBLKliOPHDQW,Plus,"2,6",BBBBBBB,TDBSCPP,DBHPBPD,BBDTHPH,SDDPSHP,BCSPSCB
https://gyazo.com/30841aac8e6bbc2fa2e67ed7abbe26a6,Hex,"1,2,4",BBBBBSC,HBSSBST,HCPHPPT,CTSBBCB,BBBBBBB,BBBBBBB
https://i.gyazo.com/thumb/1200/575f5d55b854f893e61986f31e6e44dd-png.jpg,Blank,"1,3",BBBBBTS,SSBSBSP,HHDHPTS,PCCDPDS,DDBDDPH,PTDHPCH
https://gyazo.com/df7ec57da21b05c441648d5c31e837e5,Blank,"4,6",BBBCCSS,HHHTHBD,CBCSBSD,TCHTSTC,PBDSBDS,TPBCDST
https://cdn.discordapp.com/attachments/653336097212071959/667056707746267137/unknown.png,Blank,1,BBBCPDT,TDSSHTP,DHSSSHP,TTCCPBC,DPDPBCT,BBTDBSB
https://gyazo.com/4cc06e30bae6a43bdc8017d5bdc306dd,Blank,5,BBBDPBD,HHHBPDP,HTTDHDD,HHCPSPB,SBCTSBT,HTHHPBC
https://gyazo.com/eba9d1409fa53620502d80222bb00970,Blank,"1,4",BBBHCHS,SDDCBDD,BDTSCSC,CHCPTSS,CDTHPHS,THDHTSP
https://media.discordapp.net/attachments/667521448126185512/667597021431070750/Destiny_2_Screenshot_2020.01.16_-_21.09.27.06.png?width=1202&height=677,Blank,5,BBBPCBB,STSBDPH,HPCCPCD,SHTTBTH,PCSBHTP,THBHTHP
https://imgur.com/a/cxC9b9v,Blank,4,BBBPDCH,HDPHCPH,HCHSCTS,PBDSCBB,HCHBBTD,HBBSPSD
https://gyazo.com/d29d03f250615e4363794c12229a6896,Blank,5,BBBPHTC,HPSPTHC,PCSTDPS,SDHDBDB,HHCPTBD,CHDCHDB
https://media.discordapp.net/attachments/666873697763590144/667365835249156126/tiger_release_final_20200116_141829.png?width=543&height=467,Blank,"2,3,6",BBBPHTC,DCCHHTC,BSBSBBB,DBDPPHD,DBDSDCH,BCDHTHS
https://media.discordapp.net/attachments/667499790950465537/667527365852659712/f9327cacd1461bbcfa24017e0e95bb37.png,Blank,1,BBBTCTD,PDSPPSD,PDSPSHH,DHPSTDS,HCSCPBD,BHSDBSP
https://gyazo.com/12c92385763596d6c7158b4014f3b57a,Blank,3,BBCBPSB,PTHCTDP,SPHDSPS,HCPDCSH,BBPPDTP,TSDPHSH
https://cdn.discordapp.com/attachments/666951769779339264/667025016466046976/Q3.jpg,Blank,"1,3",BBCCHHC,SPDPHDT,SDSTTPP,HBCCSPH,DTHSHTS,HHHCCHS
https://gyazo.com/aa0c63827655d42a8f933e91a9ecff63,Blank,"2,6",BBCDHHC,HTBDPHD,BBBBBBB,BBBBBBB,BBBBBBB,SDTPTPD
https://drive.google.com/open?id=1_aMFNN-o13OnyCkp2y5UiVlbfPkCaQmE,Blank,"1,4,5",BBCPSDS,PCHCBBC,PCPCBCC,CCHDPHD,DSHDBCT,SPHCCPT
https://media.discordapp.net/attachments/485534433059930114/667252313114673152/image1.jpg,Clover,4,BBDHTBC,PPDHPBD,TSCCCHD,BCHPPCT,BCSBCPB,TBCDTSH
https://i.gyazo.com/thumb/1200/23da3bb97b0af4508454fb3dbb0285e6-png.jpg,Hex,3,BBDPBPP,PDDHTTB,SSHPHDP,CHCBPSH,CHPSBSS,SBCBSBB
https://imgur.com/Bfic6sl,Plus,"1,3,4",BBDPSSS,DSTBSDB,SHTCCTT,TBDTSTH,STTCHPH,BBTBSHB
https://cdn.discordapp.com/attachments/666872924967403550/667214230113746954/corridors_8.jpg,Snake,3,BBDSBTP,TBBHSBS,DSCBBBC,SCDDBPC,SBHPPHP,CPDPPHD
https://i.gyazo.com/thumb/1200/3e451edcbfde33091d4580852f9c698e-png.jpg,Blank,"1,5,6",BBDSHCP,PHHTBDB,CHBSHSC,BPDDBBH,CSHCBDD,SHDDDHS
https://media.discordapp.net/attachments/666872924967403550/667206334537793547/unknown.png?width=1202&height=677,Blank,"1,3,5,6",BBDSPSD,CHDBBBH,SBDBCTD,TCCPCSD,STSBHHD,THTSDTP
https://gyazo.com/76d7ce8498d292d7765fe1ff6a70393a,Blank,3,BBDSSPH,PTBSHDD,HSBTBPC,HCPTDHP,BTDHTDS,CCSPBCD
https://cdn.discordapp.com/attachments/667012436360167447/667030118518227014/Hunter_1.png,Blank,"3,5",BBDSTHD,CDSCCDT,SCDDPPH,SCTCBDH,DDDHCDS,TSHHBHS
https://imgur.com/a/x4fNZst,Blank,"2,6",BBDSTSH,SSHCDTD,CTHSHTS,DDDHTSS,TDTTTHC,TCCSCHS
https://drive.google.com/file/d/13RYX9-sdSxHCgPORVY8bSpEdtigsF0zc/view?usp=sharing,Blank,"3,6",BBDTHPH,THSCCTB,DBCBDPT,CSSBTPH,DCDCPCC,HBBSDDB
https://i.imgur.com/OzLqniH.jpg,Blank,"3,5",BBHCTTH,TTCTTSS,SDDDSSD,DPCBSSH,TDTCSCH,CBDCTBT
https://gyazo.com/f8d18c441e4c5415513996080f36d5c3,Blank,"3,6",BBHHHDB,TTCCPPP,CHCDBBD,BBBPDCH,PTTPBDS,CCHDTTD
https://drive.google.com/open?id=1qRJvw8qAv2ZZqhW_FY1TPkXsFnXgTKlA,Clover,"1,3,4",BBHHSPB,TCSCHDC,HDSPDHB,DDHCHDP,SBSPHCB,CPDSSBD
https://cdn.discordapp.com/attachments/526842845072719893/667226134655795200/unknown.png,Clover,6,BBHPDCD,SCCCSSB,BBBBBBB,BBBBBBB,BBBBBBB,STDDCSD
https://i.gyazo.com/thumb/1200/42c38f024687e2806205d4c38e9e0366-png.jpg,Blank,6,BBHPDSH,CCSDTTC,TDTBSST,CSHPDTD,CCTHBBB,BPBCTTH
https://drive.google.com/open?id=1s_yXdD5nvabuBaIaYwH0xyBwowVkTcKZ,Blank,"1,3,4",BBHSDTD,STBSDST,SCBTBHT,HHDSBCD,DCPCHCS,CCBHHHC
https://imgur.com/a/UHwB7QP,Blank,"3,4,6",BBHTHTD,SCTCCCC,HBDBHDS,SHDBHHT,BSPPTHC,BSSCCHS
https://media.discordapp.net/attachments/667499790950465537/667508451462610956/51f3887e796406317a6db1eb3453e254.png,Blank,"2,3",BBPCBBS,BDTPCHH,HDDHSBS,PDTSDCP,DPSHBST,PSHHSTB
https://gyazo.com/0b0946787e1ac1f79026d6b1ba4adc4b,Blank,"3,5",BBPHPTB,BPPSDHS,PCTHDTH,TDBPBCC,DPSHSTS,CCTSTHT
https://gyazo.com/893db0588757b9b1cf79faadd33e15fe,Blank,"5,6",BBPPDPB,BBPSSHD,SBCTSST,SCSBSPB,DTTBPST,SCHHDTS
https://gyazo.com/49e623060c9d5eeefbc29fac0787e0ff,Clover,6,BBSCDCT,DBTBDTC,SSSDSPC,DHPHBSC,DPSHDBS,BPPTSTC
https://cdn.discordapp.com/attachments/666872924967403550/667281011347947520/20200116090819_1.jpg,Blank,"2,5",BBSCDPC,SDBHSSB,DSBCHSD,HHPPBSB,DHTBBHH,PDCDDCS
https://cdn.discordapp.com/attachments/666872924967403550/667430944709541888/Destiny_2_Screenshot_2020.01.16_-_13.10.59.08.png,Clover,"2,3,5",BBSHBDC,PPTHSCD,PDPHCSC,SHSHCDP,CBCHCDH,CDDCPBD
https://gyazo.com/0a4bb3405a1a3148780dfa155b705ac4,Blank,6,BBSHTDB,SCCSHCC,HPBPHTS,STCBCSS,CHCPDDC,PSCCBTB
https://drive.google.com/open?id=1tpnLhr57S3c3FOLwDfdvrECvxEzSgvFi,Blank,2,BBTBBSH,PCDHHTT,TCSDTPB,TTTCTHB,HTDTHHD,HPDSHDC
https://media.discordapp.net/attachments/667499790950465537/667530280135032832/f104ad65273776342ad41619c60d2696.png,Blank,2,BBTBPSD,TSDPDTT,TBPDSHH,STPSBDC,CHTHDBT,SCPHSTP
https://gyazo.com/39e5d4726427a261bdba1e6648628492,Blank,"2,5",BBTSSPD,CSSCTCB,DBDTCBT,CTDTCHD,TBSSHSD,PTBCBBS
https://cdn.discordapp.com/attachments/666873697763590144/667266511559196695/Corridor_Pattern.PNG,Blank,"2,3",BCBHCCP,TPTTDHH,DSTPCHP,CBBTCCH,PCBTBHS,PPPTBPB
https://cdn.discordapp.com/attachments/666873697763590144/667250392572362792/tiger_release_final_20200115_221242.png,Plus,"2,5",BCBHDBD,SDPTPHD,THPHBDB,THSBHDD,THCBHHC,HHHCBDH
https://drive.google.com/open?id=1DDw60PhuRsP8rhOcxTW8oZGhrnXyS_iD,Blank,"2,3,4,5",BCBPTPB,BBDBHPC,PBTDPDH,TSTBBTC,HPTBDHB,HPTBHTT
https://drive.google.com/open?id=1ZDxWsO-7CGjFrtkqvTyH6YxaK4JrXXFv,Blank,5,BCBSDSH,BBBBBBB,BBBBBBB,HCDPHHB,HHPHBSD,SSDBHTS
https://cdn.discordapp.com/attachments/422986504206417921/667295980726517770/9e05ba92e6.png,Blank,1,BCBSPCD,BDDDBCT,CBDHTBP,HHBTTCB,STHCSTT,BDDTBCD
https://cdn.discordapp.com/attachments/666872924967403550/667314116901470218/unknown.png,Blank,"2,6",BCCBHDC,HDSSBCP,DDSTPCP,BSHPDBT,BPPSDHS,CCCDCCS
https://cdn.discordapp.com/attachments/666872924967403550/667208186415153162/9.png,Plus,5,BCCBPBD,BPSBPCP,SPBCBCC,PHDSHSD,DCTSTCH,HCHDTBT
https://drive.google.com/open?id=1Ad-6ZXdvt4-T34ZMvaIZi10bkif6-8S4,Blank,"1,3,5",BCCCBST,TBBBTPS,PSPSSBT,PHSHCHT,BSPBBDH,PSTSDBT
https://cdn.discordapp.com/attachments/666873697763590144/666976555892736020/unknown.png,Blank,"3,6",BCCCPTD,BPSCBSS,TBBSCDD,TDTBCTC,CCPHBDB,BDTHDDS
https://gyazo.com/f6bbfbe637cbf5c33a38b102de747e58,Blank,"2,5",BCCCTPB,DBSPDPT,PHDPTDC,CCTBSHC,PSBBSSD,SBDHDBH
https://i.imgur.com/2vNOCw2.jpg,Blank,"4,6",BCCDTTD,HHBTTCP,CBSDBPC,SPCHPTP,PTHCTHH,STDSTTH
https://i.gyazo.com/thumb/1200/c81fa7ee88ef73cb04762989172ca40d-png.jpg,Blank,"2,4",BCCPPCC,DPTSCDB,HHBCBHS,TTDBDBS,HTDTDTP,SDBTTBS
https://cdn.discordapp.com/attachments/528653559978393620/667393130852778014/20200116164011_1.jpg,Blank,1,BCCPPPS,TTHSHPS,BBDCSTH,DHDHSDT,PPBSCTT,PCPDSSS
https://media.discordapp.net/attachments/666872924967403550/667194147890790431/image4.jpg?width=1202&height=677,Blank,"2,5",BCCPSBH,PPDCPDB,STCPTHH,TDPDBDS,TBBTCHB,THBDCSD
https://cdn.discordapp.com/attachments/371349906448711693/667435453829480467/unknown.png,Blank,"2,3,4,5",BCCPTPT,DTHSCCT,HBBPCBD,SSHPSHT,PPBTBHT,CBDCBHH
https://drive.google.com/open?id=1aOotCNz32tkvceLgjgfcgbkx3zUGc_7L,Blank,"2,3,4,6",BCCTBSD,HTBDBPT,PBCCCCS,TPDSPPP,CTTPHTC,CSHSBTP
https://gyazo.com/98af56bedbddde90fd3807bde18da2fd,Blank,"2,6",BCCTCSP,PBBPCTC,CBDCBCC,SBDHDHH,BHPHCHD,PSTTTBT
https://gyazo.com/7c8d491880bae0ab4b530d5066924875,Clover,"1,2",BCDDBCD,BCBPDPT,SPSHHTT,TSSTPTS,BTTTCTD,DHBHPTS
https://gyazo.com/e44e1b517b4a1b085a535619e3e537f7,Blank,"3,6",BCDSCCT,TBHSCBH,DBBDBTD,DDCTTCC,CTSBDTP,PPSDCPS
https://cdn.discordapp.com/attachments/666872924967403550/667247960765235200/tiger_release_final_20200115_220159.png,Diamond,5,BCDSSTD,HTHPHSD,TSPCHTT,BCCPTPT,DTDCBCH,SBCTSST
https://drive.google.com/open?id=1GP2sU5qKB_EOzo8hhZbCCBYoYEjRJvOT,Blank,3,BCDTTHP,TSSCHDP,DPHPHTB,TCHDCPT,TCTHTHC,SPPTSSC
https://cdn.discordapp.com/attachments/666873697763590144/667203524131815424/tiger_release_final_20200115_210400.png,Blank,2,BCDTTHT,HBHSHHH,DDCPPDC,PPPTPSC,HHTPCTP,DTHSSSP
https://gyazo.com/4d2ee16eb5269fd8eb790abb1a8a356d,Blank,2,BCHBBTB,SCSSDTB,HSCBBST,PTBCBTC,BPBSCTP,BSCDTTT
https://cdn.discordapp.com/attachments/666872924967403550/667008073050882077/20200115192054_1.jpg,Blank,3,BCHBHTT,BPCSBBD,PPSBSBP,SPSDPTP,DDPCTHP,SHHPCSD
https://cdn.discordapp.com/attachments/666872924967403550/666878785773240341/Destiny_2_Screenshot_2020.01.15_-_13.37.40.24.png,Diamond,5,BCHDBBH,BCPTDPD,PBDHDCS,DHPCBBP,HDPSPBS,CBTCSHT
https://gyazo.com/3c1c11a41d766d4edabcebb5b2ece2b8,Blank,4,BCHHBDT,DBHDBCD,TBDBHCP,PTSBPSD,BDTSCCC,HHPDCDP
https://gyazo.com/f6cff3017e46c9cde08c294a83e1b79d,Blank,3,BCHHPSP,TPPPPSB,PSCPCDH,SDSCPSP,PHSCCPS,SBSBDTS
https://media.discordapp.net/attachments/666976647320436737/666976701560913940/Destiny_2_Screenshot_2020.01.15_-_23.17.28.28.png?width=1202&height=677,Blank,6,BCHPPBH,PSHCSCC,DHBHSSP,HSCBBHC,HPCHBDT,HHBSPCH
https://media.discordapp.net/attachments/666872924967403550/667206505358950410/unknown.png?width=1202&height=677,Blank,"1,3,6",BCHPPCT,BBSTSCS,HSBSDBP,DBSPHSD,BTDTBTH,CPPCSTH
https://gyazo.com/46530bbf3dbff5bfbe60f2895ef02310,Blank,2,BCHPTTP,HPHSTTS,CTCSDHT,HBHCHDH,CHBPSTC,THSDPPS
https://cdn.discordapp.com/attachments/633675801476464661/667378162463932446/unknown.png,Blank,"5,6",BCPDTSD,TCHBDBH,DBHDSHD,SPPHDTS,DBHBCTH,DPCDTTB
https://drive.google.com/open?id=1UkcXzagoVC8cuoHhrbyvJPirwophUOqx,Blank,"3,6",BCPPPDD,BBSBHSS,HPSTPSS,BTSHPTP,TCTSPBS,SPTPBHC
https://media.discordapp.net/attachments/666873697763590144/667374313380511744/20200116062632_1.jpg?width=1073&height=604,Blank,"3,6",BCSBPPB,DPHHTST,PHSBPSS,TPBPHPB,SPBSHBD,TCDSDHP
https://gyazo.com/51cf8551aa8bfbf37b6df06dd7331674,Blank,3,BCSCBDB,DTHDCCD,TBDPSSS,PTCCBBS,BDBDTPB,STHTCPS
https://gyazo.com/e28ce334269b187b6868dd64e0f0e950,Clover,"1,2,3,6",BCSCCCH,DPPCTBT,DSPSCHH,BBCHBPP,BPCDDHC,DHSHHPT
https://cdn.discordapp.com/attachments/666872924967403550/667433741286899722/PS_Messages_20200116_201923.jpg,Blank,"3,4,5",BCSDPSD,CHCDBDH,DDCBSTH,BSHBTCD,PBDHCSC,TSTDHDD
https://i.gyazo.com/thumb/1200/e93a0cd58fcf2a63197e5749ca84537a-png.jpg,Blank,"1,4",BCSHDHD,BBPPHSS,CPHBDBT,CBPTCBS,BDHDDTS,PHCPPTH
https://gyazo.com/a9d2e0ae1a0c268bfff23b3210ea461f,Blank,"2,5",BCSHPST,DSDSDSD,SSCTHSP,DCDCBDP,SBDDBBP,TPSDPPC
https://drive.google.com/open?id=1bz3DxbS6OVyQxO2dBEFW1dPWSiFRvfrT,Diamond,"3,5,6",BCSHTBC,PCSPHTB,SBPBCPB,TTBBPTP,BBHHPST,TDCPSBD
https://cdn.discordapp.com/attachments/666873697763590144/666949867989630977/1085660_screenshots_20200115094525_1.jpg,Plus,"3,4,6",BCSHTHH,STSBSCH,HHBSTHC,SDPHBCT,CBHPHSB,DPPSHDP
https://drive.google.com/open?id=17c_mP8w5ziKLAwUETBsOBupx4V7TsZSO,Blank,"2,5",BCSPDHC,BHSCTTB,TPHCTCC,HTTCTCT,HTPBDDP,BHSTDHP
https://cdn.discordapp.com/attachments/666872924967403550/667202026593058817/tiger_release_final_20200116_135508.png,Snake,1,BCTBCBD,BDHHBDD,SDHHCPP,HDSDDCT,SSTDHTT,THTBDCT
https://gyazo.com/0dc33d50c67f6969c4b407cba489ab23,Hex,2,BCTBPSC,TDSDPDC,TSSDCPS,BBSBSTP,DCBSCHP,CPDPCHD
https://cdn.discordapp.com/attachments/667145204385579009/667251567136604160/unknown.png,Blank,"3,5",BCTDHCP,BSBTPTT,HCTBCSH,STTHTSP,DSPTTHD,TPCHTHP
https://cdn.discordapp.com/attachments/666873697763590144/667377241327665152/Hunter_Reveal_3_No_HUD.png,Blank,3,BCTHDPS,DSDDDPC,DBTBPBC,PPHHDTB,BBBBBBB,BBBBBBB
https://drive.google.com/open?id=1i4EHIRUkycOhFS2xaXgX1Z4R5qgv6NPZ,Blank,1,BCTHSCB,BBBBBBB,BBBBBBB,PSCDTST,CBPSTSD,BDTCBCP
https://cdn.discordapp.com/attachments/666873697763590144/667211558425853993/tiger_release_final_20200115_193821.png,Blank,5,BCTHTHD,BHBSHBT,CHHPTPT,PPCSCPD,BSPHSDP,PSPDDHP
https://cdn.discordapp.com/attachments/666872924967403550/667322780408348711/unknown.png,Blank,"2,3,6",BCTTDHC,HBBSHDS,DCTTDSD,HBSPPDS,BSBTBCT,PSSTDTS
https://drive.google.com/open?id=1bsb40qLVqCvHuqos5gXol2dHJ-2zxeOa,Snake,1,BDBCTSC,PTCBTSC,CTPDPTD,CTSDHPP,CBSDHHB,CPPSBSC
https://gyazo.com/a91b490a9fc946bebe0b1d742f2b3101,Blank,"5,6",BDBHTDT,SBPDSCB,HTDCPSH,SDPSBBT,CDPHSTB,TSBDTDT
https://imgur.com/a/pQ3fXE6,Blank,"2,5,6",BDBSBPC,DHDBCPB,TPPSSTP,HCPSSSD,HDHTPSP,BSDSHHP
https://imgur.com/XeSHyT7,Blank,5,BDBSSHB,DBCSSPP,BTCDCSC,PPHCTPB,CDTTSCP,CTTDPPB
https://gyazo.com/b72a9227eb7884f0a31fbdf6bbf43a61,Blank,"3,6",BDCCTCD,PHDSTHB,DCCPTPB,DSTDSHH,DPHDHTS,DPBBBTC
https://gyazo.com/ee05cc1406f0ed355a2a53e8af51b372,Blank,"3,5,6",BDCHHPH,DPPHTTH,HCTCDCT,DTSCSDH,HSDHHSS,TDTHCDD
https://cdn.discordapp.com/attachments/612785903584280583/667218654664065044/unknown.png,Blank,"1,5",BDCPHTB,DPCHBCC,PBSPSSD,PTHSTTD,TDTSSBD,TBBTSDC
https://media.discordapp.net/attachments/667499790950465537/667544548087431187/f913a61456e2d384486553b1c3fd6366.png,Diamond,3,BDCSHPB,HPHCDBC,PDTSCDD,BPDDDPS,TSCHHBD,DCDBSTD
https://cdn.discordapp.com/attachments/667486768941236235/667509817124061194/Destiny_2_Screenshot_2020.01.16_-_18.15.17.51.png,Blank,4,BDCSPST,BPSTTBP,TPCSPTB,DSTHCPH,THDPHHH,CDDPTTP
https://images-ext-2.discordapp.net/external/YLT5cU9LjvJQHP31oHZqdqkB1J5IOsuaMMfwbTlnTgQ/https/i.gyazo.com/thumb/1200/b94525d2d02b342d524d1ea358c0b360-png.jpg,Blank,"1,2,4",BDCSTCC,BDBCSBP,BBCPDDD,PTCTHCP,CCCPPDS,DTHHBDH
https://i.gyazo.com/thumb/1200/5e46e0e419d3d386dc2769a43a8a927a-png.jpg,Blank,"4,6",BDDCBCC,PHCBPCD,BDDCBBD,HTTHDSB,SPCDSTC,CDSDBPT
https://gyazo.com/900ed92269405cdddd00824c101facf1,Blank,5,BDDCCPC,BSCCTSP,SHHDSSD,SSSHBDB,CPHPPPP,PBSPPBD
https://cdn.discordapp.com/attachments/667111309715832877/667191389045653514/unknown.png,Blank,"2,3,5",BDDCHTP,PPPDTCP,PTPCBBD,HPPTBHC,THDCSBC,THHBBPT
https://media.discordapp.net/attachments/667499790950465537/667516260808130573/90c68f3592946db62d97363022370c4e.png,Clover,2,BDDCPTD,TTPPDPD,BSHTBSP,HCBBTPB,BBBTCSH,CDSTPBT
https://gyazo.com/246cba89b82ac5d89dfb0636655ac22a,Blank,"1,2,3,5",BDDDTCS,DTPTCTB,BDSSSSH,SPTSSDS,BDDBTBB,BDSTDCD
https://cdn.discordapp.com/attachments/667118189091749898/667346361859178496/tiger_release_final_20200116_121737.png,Blank,"2,5,6",BDDTDTP,BHDDPTB,TPTTTHD,BTSSTTD,DDPPSCD,SSDTBTS
https://cdn.discordapp.com/attachments/666872924967403550/666876971892080690/unknown.png,Plus,"3,4,6",BDHBSPB,TBBSSHH,CCCPBTH,HDTTSTS,BCPHBTD,PTCPPHT
https://cdn.discordapp.com/attachments/667486768941236235/667504784995254312/Destiny_2_Screenshot_2020.01.16_-_17.48.56.13.png,Blank,"2,4",BDHBSPH,SBTHPPH,TBDPDDB,TBDBDDD,SPPHPPT,BSHCCTS
https://media.discordapp.net/attachments/667596530798166017/667596737518764052/SPOILER_tiger_release_final_20200116_231133.png?width=1202&height=677,Blank,"2,6",BDHCBTC,HCBDTHS,TPCHTCH,BPSDDDP,PPDHPBD,DSDHTTP
https://cdn.discordapp.com/attachments/666872924967403550/667214780087533589/20200115195231_1.jpg,Blank,6,BDHDCPB,DTHHHCH,CPDSDCS,BBBBBBB,SBPCBPP,TDDHHCT
https://cdn.discordapp.com/attachments/666872924967403550/667212226364440587/d9463e82-416c-4fb2-9148-8614e0f17326.PNG,Blank,"2,3,5",BDHPHDS,SBTTHCS,BSDDBDH,BBTCPDB,CSCCSDC,CTHHTDH
https://media.discordapp.net/attachments/666872924967403550/667203426278440980/tiger_release_final_20200116_040043.png?width=1098&height=676,Blank,5,BDHTBHS,PDBTHTD,PTSCBSD,HHBSCPT,TCDSHTH,DDPHHTH
https://cdn.discordapp.com/attachments/666871092014743573/666900458530668545/unknown.png,Snake,"2,5",BDPBBBS,THTSTSH,SPPDTTC,HSPSBCB,BDCBBSH,TTTBSTB
https://drive.google.com/file/d/1evxLHcdpUdb05AtalqJdXGJaZsMAmf2W/view?usp=sharing,Blank,"1,2",BDPDDBH,PPDDTCS,BDDTBCD,THCBCPH,PPTTHHP,HBCSCCT
